Serial No., Control Objective, Compliance Status
1,Ensure 'Account lockout duration' is set to '15 or more minute(s)',Compliant
2,Ensure 'Allow Administrator account lockout' is set to 'Enabled',Compliant
3,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)',Compliant
4,Ensure 'Minimum password age' is set to '1 or more day',Compliant
5,Ensure 'Password must meet complexity requirements' is set to 'Enabled',Compliant
6,Ensure 'Store passwords using reversible encryption' is set to 'Disabled',Compliant
7,Ensure 'Audit Credential Validation' is set to 'Success and Failure',Compliant
8,Ensure 'Audit Kerberos Authentication Service' is set to 'Success and Failure',Compliant
9,Ensure 'Audit Kerberos Service Ticket Operations' is set to 'Success and Failure',Compliant
10,Ensure 'Audit Computer Account Management' is set to include 'Success',Compliant
11,Ensure 'Audit Distribution Group Management' is set to include 'Success',Compliant
12,Ensure 'Audit Other Account Management Events' is set to include 'Success',Compliant
13,Ensure 'Audit Security Group Management' is set to include 'Success',Compliant
14,Ensure 'Audit User Account Management' is set to 'Success and Failure',Compliant
15,Ensure 'Audit PNP Activity' is set to include 'Success' (Automated),Compliant
16,Ensure 'Audit Process Creation' is set to include 'Success' (Automated),Compliant
17,Ensure 'Audit Directory Service Access' is set to include 'Failure',Compliant
18,Ensure 'Audit Directory Service Changes' is set to include 'Success',Compliant
19,Ensure 'Audit Account Lockout' is set to include 'Failure',Compliant
20,Ensure 'Audit Group Membership' is set to include 'Success',Compliant
21,Ensure 'Audit Logoff' is set to include 'Success',Compliant
22,Ensure 'Audit Logon' is set to 'Success and Failure',Compliant
23,Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure',Compliant
24,Ensure 'Audit Special Logon' is set to include 'Success',Compliant
25,Ensure 'Audit Detailed File Share' is set to include 'Failure',Compliant
26,Ensure 'Audit File Share' is set to 'Success and Failure',Compliant
27,Ensure 'Audit Other Object Access Events' is set to 'Success and Failure',Compliant
28,Ensure 'Audit Removable Storage' is set to 'Success and Failure',Compliant
29,Ensure 'Audit Policy Change' is set to include 'Success',Compliant
30,Ensure 'Audit Authentication Policy Change' is set to include 'Success',Compliant
31,Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure',Compliant
32,Ensure 'Audit Other Policy Change Events' is set to include 'Failure',Compliant
33,Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure',Compliant
34,Ensure 'Audit IPsec Driver' is set to 'Success and Failure',Compliant
35,Ensure 'Audit Other System Events' is set to 'Success and Failure',Compliant
36,Ensure 'Audit Security State Change' is set to include 'Success',Compliant
37,Ensure 'Audit Security System Extension' is set to include 'Success',Compliant
38,Ensure 'Audit System Integrity' is set to 'Success and Failure',Compliant
39,Ensure 'Do not display the password reveal button' is set to 'Enabled',Compliant
40,Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled',Compliant
41,Ensure 'Minimize the number of simultaneous connections to the Internet' (Automated),Compliant
42,Ensure 'Include command line in process creation events' is set to 'Enabled' (Automated),Compliant
43,Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good unknown and bad but critical' (Automated),Compliant
44,Ensure 'Configure registry policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE' (Automated),Compliant
45,Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated),Compliant
46,Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled' (Automated),Compliant
47,Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE' (Automated),Compliant
48,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated),Compliant
49,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated),Compliant
50,Ensure 'Accounts: Guest account status' is set to 'Disabled',Compliant
51,Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts' (Automated),Compliant
52,Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled' (Automated),Compliant
53,Configure 'Accounts: Rename guest account' (Automated),Compliant
54,Configure 'Accounts: Rename administrator account',Compliant
55,Ensure 'Audit: Force audit policy subcategory settings to override audit policy category settings' is set to 'Enabled',Compliant
56,Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled',Compliant
57,Ensure 'Domain member: Digitally encrypt or sign secure channel data (always)' is set to 'Enabled',Compliant
58,Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled',Compliant
59,Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled',Compliant
60,Ensure 'Domain member: Disable machine account password changes' is set to 'Disabled',Compliant
61,Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days but not 0',Compliant
62,Ensure 'Domain member: Require strong session key' is set to 'Enabled',Compliant
63,Ensure 'Domain controller: Allow server operators to schedule tasks' is set to 'Disabled' (DC only) (Automated),Compliant
64,Ensure 'Domain controller: Allow vulnerable Netlogon secure channel connections' is set to 'Not Configured' (DC Only) (Automated),Compliant
65,Ensure 'Domain controller: LDAP server channel binding token requirements' is set to 'Always' (DC Only) (Automated),Compliant
66,Ensure 'Domain controller: LDAP server signing requirements' is set to 'Require signing' (DC only) (Automated),Compliant
67,Ensure 'Domain controller: Refuse machine account password changes' is set to 'Disabled' (DC only) (Automated),Compliant
68,Ensure 'Interactive logon: Do not display last username' is set to 'Enabled',Compliant
69,Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled',Compliant
70,Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s) but not 0',Compliant
71,Configure 'Interactive logon: Message text for users attempting to log on',Compliant
72,Configure 'Interactive logon: Message title for users attempting to log on',Compliant
73,Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher (Automated),Compliant
74,Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days',Compliant
75,Ensure 'Interactive logon: Require Domain Controller Authentication to unlock workstation' is set to 'Enabled',Compliant
76,Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled',Compliant
77,Ensure 'Microsoft network client: Digitally sign communications (if server agrees)' is set to 'Enabled',Compliant
78,Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled',Compliant
79,Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)',Compliant
80,Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled',Compliant
81,Ensure 'Microsoft network server: Disconnect clients when logon hours expire' is set to 'Enabled' (Automated),Compliant
82,Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher (MS only) (Automated),Compliant
83,Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled',Compliant
84,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled' (MS only) (Automated),Compliant
85,Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled' (MS only) (Automated),Compliant
86,Ensure 'Network access: Let Everyone permissions apply to anonymous users' is set to 'Disabled' (Automated),Compliant
87,Configure 'Network access: Named Pipes that can be accessed anonymously' (MS only) (Automated),Compliant
88,Configure 'Network access: Remotely accessible registry paths' is configured (Automated),Compliant
89,Configure 'Network access: Remotely accessible registry paths and sub-paths' is configured (Automated),Compliant
90,Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled' (Automated),Compliant
91,Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow' (MS only) (Automated),Compliant
92,Ensure 'Network access: Shares that can be accessed anonymously' is set to 'None' (Automated),Compliant
93,Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves' (Automated),Compliant
94,Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled',Compliant
95,Ensure 'Shutdown: Allow system to be shut down without having to log on' is set to 'Disabled',Compliant
96,Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled',Compliant
97,Ensure 'User Account Control: Behaviour of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop',Compliant
98,Ensure 'User Account Control: Behaviour of the elevation prompt for standard users' is set to 'Automatically deny elevation requests',Compliant
99,Ensure 'User Account Control: Detect application installations and prompt for elevation' is set to 'Enabled',Compliant
100,Ensure 'User Account Control: Only elevate UIAccess applications that are installed in secure locations' is set to 'Enabled',Compliant
101,Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled',Compliant
102,Ensure 'User Account Control: Virtualize file and registry write failures to per-user locations' is set to 'Enabled' (Automated),Compliant
103,Ensure 'User Account Control: Switch to the secure desktop when prompting for elevation' is set to 'Enabled',Compliant
104,Ensure 'Windows Firewall: Domain: Firewall state' is set to 'On (recommended)' (Automated),Compliant
105,Ensure 'Windows Firewall: Domain: Inbound connections' is set to 'Block (default)' (Automated),Compliant
106,Ensure 'Windows Firewall: Domain: Settings: Display a notification' is set to 'No' (Automated),Compliant
107,Ensure 'Audit Computer Account Management' is set to include 'Success' (DC only) (Automated),Compliant
108,Ensure 'Audit Other Account Management Events' is set to include 'Success' (DC only) (Automated),Compliant
109,Ensure 'Audit Distribution Group Management' is set to include 'Success' (DC only) (Automated),Compliant
110,Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated),Compliant
111,Ensure 'Access Credential Manager as a trusted caller' is set to 'No One',Compliant
112,Ensure 'Access this computer from the network' is set to 'Administrators Authenticated Users ENTERPRISE DOMAIN CONTROLLERS',Compliant
113,Ensure 'Access this computer from the network' is set to 'Administrators Authenticated Users' (MS only),Compliant
114,Ensure 'Act as part of the operating system' is set to 'No One',Compliant
115,Ensure 'Add workstations to domain' is set to a specific security group,Compliant
116,Ensure 'Allow log on locally' is set to 'Administrators',Compliant
117,Ensure 'Allow log on through Remote Desktop Services' is set to specific security group,Compliant
118,Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators Remote Desktop Users,Compliant
119,Ensure 'Change the system time' is set to 'Administrators LOCAL SERVICE',Compliant
120,Ensure 'Change the time zone' is set to 'Administrators LOCAL SERVICE',Compliant
121,Ensure 'Create a pagefile' is set to 'Administrators',Compliant
122,Ensure 'Create global objects' is set to 'Administrators LOCAL SERVICE NETWORK SERVICE SERVICE',Compliant
123,Ensure 'Force shutdown from a remote system' is set to 'Administrators',Compliant
124,Ensure 'Generate security audits' is set to 'LOCAL SERVICE NETWORK SERVICE',Compliant
125,Ensure 'Impersonate a client after authentication' is set to 'Administrators LOCAL SERVICE NETWORK SERVICE SERVICE' (DC only),Compliant
126,Ensure 'Impersonate a client after authentication' is set to 'Administrators LOCAL SERVICE NETWORK SERVICE SERVICE' and (when the Web Server (IIS) Role with Web Services Role Service is installed) 'IIS_IUSRS' (MS only),Compliant
127,Ensure 'Increase scheduling priority' is set to 'Administrators Window Manager\Window Manager Group',Compliant
128,Ensure 'Load and unload device drivers' is set to 'Administrators',Compliant
129,Ensure 'Lock pages in memory' is set to 'No One',Compliant
130,Ensure 'Manage auditing and security log' is set to 'Administrators',Compliant
131,Ensure 'Modify an object label' is set to 'No One',Compliant
132,Ensure 'Modify firmware environment values' is set to 'Administrators',Compliant
133,Ensure 'Perform volume maintenance tasks' is set to 'Administrators',Compliant
134,Ensure 'Profile single process' is set to 'Administrators',Compliant
135,Ensure 'Restore files and directories' is set to 'Administrators',Compliant
136,Ensure 'Shut down the system' is set to 'Administrators',Compliant
137,Ensure 'Take ownership of files or other objects' is set to 'Administrators',Compliant
138,Ensure 'Back up files and directories' is set to 'Administrators and Backup Operators',Compliant
139,Ensure 'Block user from showing account details on sign-in' is set to 'Enabled',Compliant
140,Ensure 'Do not display network selection UI' is set to 'Enabled',Compliant
141,Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (MS only) (Automated),Compliant
142,Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled' (Automated),Compliant
143,Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled' (Automated),Compliant
144,Ensure 'Turn off picture password sign-in' is set to 'Enabled' (Automated),Compliant
145,Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled',Compliant
146,Ensure 'Security: Control Event Log behaviour when the log file reaches its maximum size' is set to 'Disabled',Compliant
147,Ensure 'Application: Specify the maximum log file size (KB)' is set to 'Enabled: 32768 or greater',Compliant
148,Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196608 or greater',Compliant
149,Ensure 'Always prompt for password upon connection' is set to 'Enabled',Compliant
150,Ensure 'Require secure RPC communication' is set to 'Enabled',Compliant
151,Ensure 'Require use of specific security layer for remote (RDP) connections' is set to 'Enabled: SSL',Compliant
152,Ensure 'Require user authentication for remote connections by using Network Level Authentication' is set to 'Enabled',Compliant
153,Ensure 'Set client connection encryption level' is set to 'Enabled: High Level',Compliant
154,Ensure 'Setup: Control Event Log behaviour when the log file reaches its maximum size' is set to 'Disabled',Compliant
155,Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32768 or greater',Compliant
156,Ensure 'System: Control Event Log behaviour when the log file reaches its maximum size' is set to 'Disabled',Compliant
157,Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32768 or greater',Compliant
158,Ensure 'Always install with elevated privileges' is set to 'Disabled',Compliant
159,Ensure 'Allow user control over installs' is set to 'Disabled',Compliant
160,Ensure 'Allow Basic authentication' is set to 'Disabled',Compliant
161,Ensure 'Disallow Digest authentication' is set to 'Enabled',Compliant
162,Ensure 'Allow unencrypted traffic' is set to 'Disabled',Compliant
163,Ensure 'Allow Basic authentication' is set to 'Disabled',Compliant
164,Ensure 'Allow unencrypted traffic' is set to 'Disabled',Compliant
165,Ensure 'Disallow WinRM from storing RunAs credentials' is set to 'Enabled',Compliant
166,Ensure 'Configure Offer Remote Assistance' is set to 'Disabled',Compliant
167,Ensure 'Do not delete temp folders upon exit' is set to 'Disabled' (Automated),Compliant
168,Ensure 'Do not use temporary folders per session' is set to 'Disabled' (Automated),Compliant
169,Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled: Warn and prevent bypass' (Automated),Compliant
170,Ensure 'Turn on PowerShell Script Block Logging' is set to 'Enabled' (Automated),Compliant
171,Ensure 'Turn on PowerShell Transcription' is set to 'Enabled' (Automated),Compliant
172,Ensure 'No auto-restart with logged on users for scheduled automatic updates installations' is set to 'Disabled' (Automated),Compliant
173,Ensure 'Select when Preview Builds and Feature Updates are received' is set to 'Enabled: 180 or more days' (Automated),Compliant
174,Ensure 'Select when Quality Updates are received' is set to 'Enabled: 0 days' (Automated),Compliant
